"Round","Date/Time","Home Team","Result","Aways Team","Handicap","x1","x2","x3","y","",""
"25","02-18 22:00","Empoli[16]","1-1","Fiorentina[7]","*0/0.5","3.52","3.37","2.02","3.37","",""
"26","02-25 03:45","Genoa[12]","2-0","Udinese[14]","0/0.5","2.22","3.04","3.38","2.22","",""
"26","02-26 03:45","AC Milan[3]","1-1","Atalanta[5]","0/0.5","2.25","3.47","2.92","3.47","",""
"26","02-27 03:45","Fiorentina[8]","2-1","Lazio[7]","0/0.5","2.29","3.12","3.14","2.29","",""
"27","03-03 03:45","AC  Torion[10]","0-0","Fiorentina[7]","0/0.5","2.35","3.07","3.09","3.07","",""
"27","03-03 19:30","Verona[17]","1-0","Sassuolo[18]","0/0.5","2.19","3.39","3.08","2.19","",""
"27","03-03 22:00","Empoli[13]","0-1","Cagliari[19]","0/0.5","2.15","3.29","3.27","3.27","",""
"27","03-03 22:00","Frosinone[16]","1-1","Lecce[15]","0/0.5","2.2","3.39","3.07","3.7","",""
"28","03-09 22:00","Sassuolo[19]","1-0","Frosinone[16]","0/0.5","2.02","3.7","3.21","2.02","",""
"28","03-10 03:45","Genoa[12]","2-3","Monza[11]","0/0.5","2.11","3.15","3.58","3.58","",""
"28","03-10 19:30","Lecce[14]","0-1","Verona[18]","0/0.5","2.11","3.18","3.5","3.5","",""
"28","03-11 01:00","Juventus[2]","2-2","Atalanta[6]","0/0.5","2.07","3.31","3.45","3.31","",""
"28","03-11 03:45","Fiorentina[8]","2-2","Roma[5]","0/0.5","2.38","3.27","2.86","3.27","",""
"29","03-17 03:45","Frosinone[18]","2-3","Lazio[9]","*0/0.5","3.16","3.41","2.15","2.15","",""
